,abstract,link,reference,title,year
58,"Honeypots are flexible security tools for gathering artefacts associated with a variety of Internet attack activities. While existing work on traffic analysis focuses mainly on identifying existing attacks, this paper describes a technique for detecting new attacks based …",https://ieeexplore.ieee.org/abstract/document/5076341/,"S Almotairi, , G Mohay… - … Conference on Internet …, 2009 - ieeexplore.ieee.org",A technique for detecting new attacks in low-interaction honeypot traffic,2009
59,"Monitoring Internet traffic is critical in order to acquire a good understanding of threats and in designing efficient security systems. While honeypots are flexible security tools for gathering intelligence of Internet attacks, traffic collected by honeypots is of high dimensionality that …",https://ieeexplore.ieee.org/abstract/document/4663317/,"S Almotairi, , G Mohay… - 2008 IFIP International …, 2008 - ieeexplore.ieee.org",Characterization of attackers' activities in honeypot traffic using principal component analysis,2008
60,"With the development of the network attack technique, the increase of the security risk on the internet, each host in the network may be the target of the attack. technology can proactively detect and respond to the intrusion and the attack of the network. Compared with …",https://ieeexplore.ieee.org/abstract/document/5622780/,"J Bao, C Ji, M Gao - 2010 International Conference on …, 2010 - ieeexplore.ieee.org",Research on network security of defense based on ,2010
67,"In modern days, breakthroughs in information and communications technologies lead to more and more devices of every imaginable type being connected to the Internet. This also strengthens the need for protection against cyber-attacks, as virtually any devices with a …",https://ieeexplore.ieee.org/abstract/document/7442780/,", , , … - IEEE Internet of Things …, 2016 - ieeexplore.ieee.org",Deceptive attack and defense game in honeypot -enabled networks for the internet of things,2016
69,"When traditional firewall and intrusion detection systems (IDS) are used to detect possible attacks from the network, they often make wrong decisions and block the legitimate connections. In this paper we propose a new architecture which is composed of distributed …",https://ieeexplore.ieee.org/abstract/document/4482815/,"B Khosravifar,  - 22nd International Conference on …, 2008 - ieeexplore.ieee.org",An experience improving intrusion detection systems false alarm ratio by using ,2008
74,"This paper intends to illustrate the usefulness of deploying multiple simple sensors in a large variety of locations. Indeed, a permanent identification of anomalies that occur on a single sensor allows pinpointing abnormal local activities. These can be the manifest of …",https://ieeexplore.ieee.org/abstract/document/1592526/,"PT Chen, CS Laih, F Pouget… - … Workshop on Systematic …, 2005 - ieeexplore.ieee.org",Comparative survey of local honeypot sensors to assist network forensics,2005
75,"This paper presents an intrusion detection module based on honey pot technology, which utilizes IP Trace back technique. By using the mobile agents, this module has the capability of distributed detection and response, the whole detection module can be extended with …",https://ieeexplore.ieee.org/abstract/document/6187883/,"L Dongxia, Z Yongbo - 2012 international conference on …, 2012 - ieeexplore.ieee.org",An intrusion detection system based on honeypot technology,2012
78,"The wide spread of cyber-attacks made the need of gathering as much information as possible about them, a real demand in nowadays global context. The systems have become a powerful tool on the way to accomplish that. Researchers have already …",https://ieeexplore.ieee.org/abstract/document/6866707/,",  - 2014 10th International Conference on …, 2014 - ieeexplore.ieee.org",RASSH-Reinforced adaptive SSH ,2014
79,"Traditionally, the strategy to defend one's organization as best as possible is to detect any failures in the defense, and then react to those failures. The problem with this approach is that it is purely defensive; the enemy is on the attack. Honeypots attempt to change this; they …",https://ieeexplore.ieee.org/abstract/document/1273174/,"S Yeldi, , T Ganacharya, S Doshi… - … 2003. Conference on …, 2003 - ieeexplore.ieee.org",Enhancing network intrusion detection system with ,2003
83,"Honeypots are valuable tools for detecting and analyzing malicious activity on the Internet. Successful and time-critical detection of such activity often depends on large-scale deployment. However, commercial organizations usually do not share data, and …",https://ieeexplore.ieee.org/abstract/document/5319295/,"WY Chin, , … - … on Network and …, 2009 - ieeexplore.ieee.org",HoneyLab: large-scale honeypot deployment and resource sharing,2009
84,"Routing protocols are essential for interconnecting networks; however they may enclose several vulnerabilities that can be exploited by malicious attackers. For example, an attacker may send forged packets to a router with the intention of changing or corrupting the routing …",https://ieeexplore.ieee.org/abstract/document/5411968/,", … - 2009 Fourth International …, 2009 - ieeexplore.ieee.org",router for routing protocols protection,2009
85,is a closely monitored computer resource that emulates behaviors of production host within a network in order to lure and attract the attackers. The workability and effectiveness of a deployed depends on its technical configuration. Since …,https://ieeexplore.ieee.org/abstract/document/6268588/,"WZA Zakaria,  - 2012 8th International Conference on …, 2012 - ieeexplore.ieee.org",A review on artificial intelligence techniques for developing intelligent ,2012
87,"Internet attacks are becoming more advanced as the economy for cybercrime grows and the tools for evading detection become ubiquitous. To counter this threat, new detection and forensics tools are needed to capture these new techniques. In this paper, we propose a …",https://ieeexplore.ieee.org/abstract/document/4267550/,", CP Lee, YH Xia… - 2007 IEEE SMC …, 2007 - ieeexplore.ieee.org",Timekeeper: a metadata archiving method for honeypot forensics,2007
91,"In this paper, on the basis of the research on technology, in view of the many problems in current traditional security resource applications, the technology is used in network security defense, and a -based distributed intrusion prevention …",https://ieeexplore.ieee.org/abstract/document/5234504/,"Z Li-Juan - 2009 2nd IEEE International Conference on …, 2009 - ieeexplore.ieee.org",-based defense system research and design,2009
92,A is an information system resource used to divert attackers and hackers away from critical resources as well as a tool to study an attacker's methods. One of the most widely used tools is honeyd for creating honeypots. The logs generated by honeyd can grow …,https://ieeexplore.ieee.org/abstract/document/6024606/,"AN Singh, RC Joshi - 2011 International Conference on Signal …, 2011 - ieeexplore.ieee.org",A honeypot system for efficient capture and analysis of network attack traffic,2011
94,"In this paper, we describe the development of J-, a Java-based network deception tool with a Web-based monitoring interface and a rule-based intrusion detection engine. Our J-is based on the Honeyd program by Niels Provos, but features important …",https://ieeexplore.ieee.org/abstract/document/1286568/,"Y Mai, R Upadrashta, X Su - International Conference on …, 2004 - ieeexplore.ieee.org",J-honeypot : a Java-based network deception tool with monitoring and intrusion detection,2004
96,"is an effective security tool, which is intended to be attacked and compromised to gain more information about the attacker and his attack techniques. To study these attacks, the must capture and log large amounts of data which are very difficult to process …",https://ieeexplore.ieee.org/abstract/document/5587041/,", … - ACS/IEEE International …, 2010 - ieeexplore.ieee.org",Data analyzer based on data mining for honeypot router,2010
98,"We investigated client honeypots for detecting and circumstantially analyzing drive-by download attacks. A client requires both improved inspection performance and in-depth analysis for inspecting and discovering malicious websites. However, OS overhead in …",https://ieeexplore.ieee.org/abstract/document/6305259/,", , T Hariu - 2012 IEEE/IPSJ 12th …, 2012 - ieeexplore.ieee.org",Scalable and performance-efficient client honeypot on high interaction system,2012
100,We innovatively propose a monitoring system for mobile communication to decrease the possibility of smart phones being attacked by viruses. The system applies the idea of active theory and combines with communication protection. We initially …,https://ieeexplore.ieee.org/abstract/document/6407408/,", X Zhu, Y Hong, H Zhang… - 2012 fourth international …, 2012 - ieeexplore.ieee.org",A mobile communication honeypot observing system,2012
103,Attackers are most likely to exploit invalidated and unsanitized user input with several attacks such as cross-site scripting (XSS) or SQLinjection. Many methods were proposed to prevent those attacks. Some of them were created to learn about pattern and behavior of the …,https://ieeexplore.ieee.org/abstract/document/7065744/,", , … - 2014 The 1st …, 2014 - ieeexplore.ieee.org",Aggressive web application honeypot for exposing attacker's identity,2014
104,"For the shortcoming of traditional intrusion detection system (IDS) in complex and unknown attack detection. A distributed intrusion detection system based on was proposed. We make use of to collect the invasion characteristics on the network, and use the …",https://ieeexplore.ieee.org/abstract/document/5486267/,"Y Yang, J Mi - 2010 2nd International Conference on Computer …, 2010 - ieeexplore.ieee.org",Design and implementation of distributed intrusion detection system based on ,2010
108,"Nowdays firewall technology in the field of the network security has been used widely, however, facing to various means of attacks, the vulnerability and limitations of firewall technology are more obvious. The paper discusses the technology in the field of …",https://ieeexplore.ieee.org/abstract/document/6014704/,"Y Yang, H Yang, J Mi - 2011 IEEE 3rd International Conference …, 2011 - ieeexplore.ieee.org",Design of distributed honeypot system based on intrusion tracking,2011
109,"Wireless Personal Area Networks (WPAN) allow for the implementation of applications such as home automation, remote control services, near-field technologies and personal health care management. Security is a critical requirement of the standards and protocols for these …",https://ieeexplore.ieee.org/abstract/document/7983603/,"S Dowling, ,  - 2017 28th Irish Signals and …, 2017 - ieeexplore.ieee.org",A ZigBee honeypot to assess IoT cyberattack behaviour,2017
112,"Honeypots derive much of their value from their ability to fool attackers into believing they're authentic machines. Current cyber-physical system (CPS) honeypots fail to sufficiently capture and simulate behavior that's necessary to project this authenticity. In response, the …",https://ieeexplore.ieee.org/abstract/document/7676152/,"S Litchfield, , J Rogers… - IEEE Internet …, 2016 - ieeexplore.ieee.org",Rethinking the honeypot for cyber-physical systems,2016
114,"Voice over IP (VoIP) and the Session Initiation Protocol (SIP) are establishing themselves as strong players in the field of multimedia communications over IP, leveraged by low cost services and easy management. Nevertheless, the security aspects are not yet fully …",https://ieeexplore.ieee.org/abstract/document/5990712/,"R Do Carmo, ,  - 12th IFIP/IEEE International …, 2011 - ieeexplore.ieee.org",Artemisa: An open-source honeypot back-end to support security in VoIP domains,2011
115,Honeypots present networked computer systems with known security flaws to attackers and can serve to collect the executable code (malware) aiming to exploit the vulnerability. We describe and evaluate the proof-of-concept NetStage Architecture for a high-speed …,https://ieeexplore.ieee.org/abstract/document/5694317/,"S Muhlbach, , C Roblee… - … Conference on Field …, 2010 - ieeexplore.ieee.org",Malcobox: Designing a 10 gb/s malware collection honeypot using reconfigurable technology,2010
116,The inherent vulnerabilities in TCT/IP architecture give dearth of opportunities to DDoS attackers. The array of schemes proposed for detection of these attacks in real time is either targeted towards low rate attacks or high bandwidth attacks. Tresence of low rate attacks …,https://ieeexplore.ieee.org/abstract/document/4299773/,"A Sardana, , RC Joshi - … International Symposium on …, 2007 - ieeexplore.ieee.org",Detection and honeypot based redirection to counter DDoS attacks in ISP domain,2007
118,"Wireless technologies provide a new channel for implementation of mobile payments systems. In this regard, the potential of short-range wireless technologies such as Bluetooth is enormous. These systems can be used for proximity payment to vending machines or …",https://ieeexplore.ieee.org/abstract/document/5413764/,",  - 2009 International Conference on …, 2009 - ieeexplore.ieee.org",Securing Bluetooth-based payment system using ,2009
119,"The need to urgently address the security issues related to SCADA system remains high. Contrary to regular IT systems, most successful SCADA attacks can have serious consequences on the nation's economy, stability and, worse affect people's live directly. In …",https://ieeexplore.ieee.org/abstract/document/6690926/,"JP Disso, , S Bailey - 2013 Eighth International …, 2013 - ieeexplore.ieee.org",A plausible solution to SCADA security honeypot systems,2013
124,In this paper we propose the P2P that prevents illegal or harmful files from spreading in P2P network. We apply the idea of to P2P network. We build fake P2P service farms and monitor and trace users who spread or gain illegal or harmful files in …,https://ieeexplore.ieee.org/abstract/document/4195182/,", T Nam - The 9th International Conference on Advanced …, 2007 - ieeexplore.ieee.org",P2p honeypot to prevent illegal or harmful contents from spreading in p2p network,2007
125,"A distributed system is a collection of honeypots distributed throughout the Internet that send their data to a central analysis point. In such a system, the need for automation, flexibility, and transparency in data control, data capture, and cleanup is more …",https://ieeexplore.ieee.org/abstract/document/1437808/,"C Carella, J Dike, N Fox, M Ryan - Proceedings from the Fifth …, 2004 - ieeexplore.ieee.org",UML Extensions for Honeypots in the ISTS Distributed honeypot Project,2004
128,"A is a type of information system that is used to obtain information on intruders in a network. When a is deployed in front of a firewall, it can serve as an early warning system. When deployed behind the firewall, it can serve as part of a defense-in-depth …",https://ieeexplore.ieee.org/abstract/document/4565077/,"CH Yeh,  - 2008 IEEE International Conference on …, 2008 - ieeexplore.ieee.org",Design and implementation of honeypot systems based on open-source software,2008
129,"Honeypots are an indispensable tool for network and system security as well as for computer forensic investigations. They can be helpful for detecting possible intrusions, as well as for gathering information about their source, attack patterns, final target and purpose …",https://ieeexplore.ieee.org/abstract/document/7237039/,", … - … Conference on High …, 2015 - ieeexplore.ieee.org",A honeypot system with honeyword-driven fake interactive sessions,2015
130,"Spam has become one of the most annoying and costly phenomenon in the Internet. Valid e-mail addresses belong to the most valuable resources of spammers, but little is known about spammers' behavior when collecting and harvesting addresses and spammers' capabilities …",https://ieeexplore.ieee.org/abstract/document/1495931/," - Proceedings from the Sixth Annual IEEE SMC …, 2005 - ieeexplore.ieee.org",An e-mail honeypot addressing spammers' behavior in collecting and applying addresses,2005
131,"Honeypots are highly valued for their detective function. However, suitable detection models use in system have not been fully explored. We present HonIDS, a system for detecting malicious hosts and intruders in local network. HonIDS is characterized …",https://ieeexplore.ieee.org/abstract/document/1610006/,", HP Hu, XC Lu, J Wang - Fourth IEEE International …, 2006 - ieeexplore.ieee.org",Honids: Enhancing honeypot system with intrusion detection models,2006
132,"The popularity of the Internet is rising day by day, hence the security is becoming the main focused point with the advent and rising popularity of the Internet. In this paper we are proposing an integrated framework of malware collection and analysis using both of the …",https://ieeexplore.ieee.org/abstract/document/6304786/,", , JS Bhatia - 2012 IEEE 7th International …, 2012 - ieeexplore.ieee.org",Hybrid honeypot framework for malware collection and analysis,2012
133,"In recent years, attackers have started to use web pages to deliver their malicious code to users. Web-based malware overcomes signature-based detection by modification of the code or using zero-day exploits. We propose a malicious activity detection method using …",https://ieeexplore.ieee.org/abstract/document/6088149/,",  - 2011 7th International Conference on …, 2011 - ieeexplore.ieee.org",Predicting client-side attacks via behaviour analysis using honeypot data,2011
134,"For the hackers' attacks on the network is constantly updated, the traditional defense dealing with unknown invasion become powerless and can not effectively protect the network. This paper proposes the application of honeypots in the LAN system, where the virtual and …",https://ieeexplore.ieee.org/abstract/document/5982237/,"L Li, H Sun,  - 2011 IEEE 2nd International Conference …, 2011 - ieeexplore.ieee.org",The research and design of honeypot system applied in the LAN security,2011
136,"To meet network security requirement, the model of SISH (Study of Intrusion Signature based on ) takes advantage of technology to collect the activities of attackers on the . According to information replied from the , and data …",https://ieeexplore.ieee.org/abstract/document/1578880/,"JF Tian, J Wang, X Yang, R Li - Sixth International Conference …, 2005 - ieeexplore.ieee.org",A Study of Intrusion Signature Based on ,2005
140,"In this paper, a deceptive system, called honeyanole, is developed to escape from hunting as well as to collect attacking information. In honeyanole, three phases of collection, redirection and deception are implemented. In the collection phase, four types of attacking …",https://ieeexplore.ieee.org/abstract/document/4580673/,"LM Shiue, SJ Kao - 2008 International Conference on …, 2008 - ieeexplore.ieee.org",Countermeasure for detection of honeypot deployment,2008
141,"is a prominent technology that helps us learn new hacking techniques from attackers and intruders. The much information from multiple servers, the more appropriate signatures we can generate. To ease the administrator to manage and monitor …",https://ieeexplore.ieee.org/abstract/document/5930083/,", U Jaralrungroj… - … Joint Conference on …, 2011 - ieeexplore.ieee.org",Distributed honeypot log management and visualization of attacker geographical distribution,2011
144,Since honeypots first appeared as an advanced network security concept they suffer from poor deployment and maintenance strategies. State-of-the-Art deployment is a manual process in which the needs to be configured and maintained by a network …,https://ieeexplore.ieee.org/abstract/document/7890056/,", M Zimmermann… - 2017 19th International …, 2017 - ieeexplore.ieee.org","An adaptive honeypot configuration, deployment and maintenance strategy",2017
148,Internet technology today is not free from many problems or security holes. This security holes could be exploited by an unauthorized person to steal important data. The case of the attacks occurred because the party that was attacked also did not realize the importance of …,https://ieeexplore.ieee.org/abstract/document/7814970/,"DK Rahmatullah, SM Nasution… - … Conference on Control …, 2016 - ieeexplore.ieee.org",Implementation of low interaction web server honeypot using cubieboard,2016
149,"Server honey pots are computer systems that hide in a network capturing attack packets. As the name goes, server honey pots are installed in server machines running a set of services. Enterprises and government organisations deploy these honey pots to know the extent of …",https://ieeexplore.ieee.org/abstract/document/7083380/,",  - 2015 international conference on …, 2015 - ieeexplore.ieee.org",Scalable honeypot architecture for identifying malicious network activities,2015
150,"Recently, advances in cyber-physical systems and IoT led to an increase in devices connected to the internet. This rise of functionality also comes with an increased attack surface for cyber criminals. A proven method for forensic investigations of trends and …",https://ieeexplore.ieee.org/abstract/document/8074855/,", , … - … Conference on Cyber …, 2017 - ieeexplore.ieee.org",Investigation of cyber crime conducted by abusing weak or default passwords with a medium interaction ,2017
160,One of the most common security attack for web application is SQL injection. It is an attack to acquire access to application's database through injection of script or malicious query attributes. This attack can be executed in any page of web application which interacts with …,https://ieeexplore.ieee.org/abstract/document/6936499/,", , … - 2014 International …, 2014 - ieeexplore.ieee.org",SQL injection detection and prevention system with raspberry Pi honeypot cluster for trapping attacker,2014
161,SQL injection attacks continue to be a major problem for Web applications. We investigate design considerations for an application layer to attract and learn about SQL injection attacks. The responds with indications of vulnerability leading attackers …,https://ieeexplore.ieee.org/abstract/document/5355040/,"TM Chen, J Buford - 2009 IEEE 34th Conference on Local …, 2009 - ieeexplore.ieee.org",Design considerations for a honeypot for SQL injection Attacks,2009
165,"With the fast development of WLAN, wireless intrusion prevention systems have recently become the research hotspot. In this paper, we first analyze the drawbacks of WLAN and indicate the primary 802.11-specific threats, then present the framework of the wireless IPS …",https://ieeexplore.ieee.org/abstract/document/5371448/,"G Chen, H Yao, Z Wang - 2009 International Conference on …, 2009 - ieeexplore.ieee.org",Research of wireless intrusion prevention systems based on plan recognition and ,2009
168,"Monitoring communication networks and their traffic is of essential importance for estimating the risk in the Internet, and therefore designing suited protection systems for computer networks. Network and traffic analysis can be done thanks to measurement devices or …",https://ieeexplore.ieee.org/abstract/document/7014136/," - 10th International Conference on Network and …, 2014 - ieeexplore.ieee.org",Unsupervised classification and characterization of honeypot attacks,2014
178,Mobile Ad hoc Networks (MANETs) having strikingly superior features also come with notable disadvantage and troubles and the most exigent amongst all being security related issues. Such an ringent network dexterously pave approach for the malicious nodes. Hence …,https://ieeexplore.ieee.org/abstract/document/6296110/,",  - … on Trust, Security and Privacy in …, 2012 - ieeexplore.ieee.org",Locating the attacker of wormhole attack by using the ,2012
179,"The number of devices connected to computer networks is increasing daily, and so is the number of network-based attacks. A is a system trap that is set to act against unauthorised use of information systems. The objective of this study was to survey the …",https://ieeexplore.ieee.org/abstract/document/7412090/,"RM Campbell, … - 2015 10th international …, 2015 - ieeexplore.ieee.org",A survey of honeypot research: Trends and opportunities,2015
181,This research presents an intrusion detection system t (IDS) with over distributed networks. The main objective is compare measuring the effectiveness of attacks between IDS and IDS with by unicast IP address attack and multicast IP address attack …,https://ieeexplore.ieee.org/abstract/document/6342030/,"A Pomsathit - 2012 spring congress on engineering and …, 2012 - ieeexplore.ieee.org",Effective of unicast and multicast IP address attack over intrusion detection system with ,2012
182,"Detailed introduction of the related knowledge of and intrusion detection technology. From the adaptability, effectiveness and scalability to a detailed analysis of the current intrusion detection system in the existing problems and the technology is …",https://ieeexplore.ieee.org/abstract/document/6976452/,"X Suo, X Han, Y Gao - 2014 IEEE workshop on advanced …, 2014 - ieeexplore.ieee.org",Research on the application of honeypot technology in intrusion detection system,2014
183,"Wireless sensor networks have become a technology for the new millennium with the endless possibilities for applications ranging from academic to military. These tiny sensors are deployed in open environments, where security for data or hardware cannot be …",https://ieeexplore.ieee.org/abstract/document/5326356/,", LA Osadciw - 2009 6th Annual International …, 2009 - ieeexplore.ieee.org",An intrusion detection framework for sensor networks using honeypot and Swarm Intelligence,2009
185,"The main objective of this research is to integrate and IDS, which can generate and activate snort rule automatically based on the data sending by server. The new technic is present in this paper, will collect the data, send the data to IDS, and …",https://ieeexplore.ieee.org/abstract/document/7409013/," - 2015 7th International Conference on Information …, 2015 - ieeexplore.ieee.org",Automatic SNORT IDS rule generation based on honeypot log,2015
193,"Recently, the increase of interconnectivity has led to a rising amount of IoT enabled devices in botnets. Such botnets are currently used for large scale DDoS attacks. To keep track with these malicious activities, Honeypots have proven to be a vital tool. We developed and set …",https://ieeexplore.ieee.org/abstract/document/7943186/,", M Zimmermann, … - … on Cloud Computing …, 2017 - ieeexplore.ieee.org",Distributed and highly-scalable wan network attack sensing and sophisticated analysing framework based on honeypot technology,2017
194,"In this paper we present empirical results and speculative analysis based on observations collected over a two month period from studies with two high interaction honeynets, deployed in a corporate and an SME (small to medium enterprise) environment, and a …",https://ieeexplore.ieee.org/abstract/document/4700327/,", , A Povyakalo… - … on Software Reliability …, 2008 - ieeexplore.ieee.org",Comparison of empirical data from two honeynets and a distributed honeypot network,2008
196,Criminal activity in the Internet is becoming more sophisticated. Traditional information security techniques hardly cope with recent trends. Honeypots proved to be a valuable source of threat intelligence. In this work several Honeypots are combined into a Honeynet …,https://ieeexplore.ieee.org/abstract/document/8215724/,", M Zimmermann, A Hafner… - … Conference on Data …, 2017 - ieeexplore.ieee.org",Data mining in long-term honeypot data,2017
197,"DDOS attacks generate flooding traffic from multiple sources towards selected nodes and cause obstruction in flow of legitimate information within a network. If the victim node is the server at ISP level requiring fast information processing, the entire network operation stops …",https://ieeexplore.ieee.org/abstract/document/4554140/,"A Sardana, RC Joshi - 2008 International Symposiums on …, 2008 - ieeexplore.ieee.org",based routing to mitigate ddos attacks on servers at isp level,2008
199,"A is a type of security facility deliberately created to be probed, attacked, and compromised. It is often used for protecting production systems by detecting and deflecting unauthorized accesses. It is also useful for investigating the behavior of attackers, and in …",https://ieeexplore.ieee.org/abstract/document/8098608/,"W Fan, , ,  - IEEE Systems Journal, 2017 - ieeexplore.ieee.org",Enabling an anatomic view to investigate honeypot systems: A survey,2017
