,abstract,link,reference,title,year
21,Characteristics of a wireless system are changed on a dynamic and configurable basis. A wireless access point device is configured to use a wireless protocol in accordance with user-specified values for configurable parameters in the wireless protocol. A …,https://patents.google.com/patent/US20050166072A1/en,"V Converse, R Edmark, J Garrison - US Patent App. 11/086,715, 2005 - Google Patents",Method and system for wireless morphing ,2005
22,System security personnel fight a seemingly unending battle to secure their digital assets against an ever-increasing onslaught of attacks. Honeypots provide a valuable tool to collect information about the behaviors of attackers in order to design and implement better …,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.127.5761&rep=rep1&type=pdf,"C Hecker, KL Nance, B Hay - Proceedings of the 10th Colloquium for …, 2006 - Citeseer",Dynamic honeypot construction,2006
23,This paper proposes a hybrid and adaptable -based approach that improves the currently deployed IDSs for protecting networks from intruders. The main idea is to deploy low-interaction honeypots that act as emulators of services and operating systems and have …,https://www.sciencedirect.com/science/article/pii/S0167404806000587,", , M Sraj, I Kuwatly, Z Al-Masri - computers & security, 2006 - Elsevier",A hybrid honeypot framework for improving intrusion detection systems in protecting organizational networks,2006
24,"Rigorously characterizing the statistical properties of cyber attacks is an important problem. In this paper, we propose the first statistical framework for rigorously analyzing -captured cyber attack data. The framework is built on the novel concept of stochastic cyber …",https://ieeexplore.ieee.org/abstract/document/6587320/,", ,  - IEEE Transactions on Information …, 2013 - ieeexplore.ieee.org",Characterizing honeypot -captured cyber attacks: Statistical framework and case study,2013
25,"A major goal of research is to improve our knowledge of blackhats from two perspectives: technical and ethnological. For the former we want new ways to discover rootkits, Trojans, and potential zero-day exploits. For the latter, we want a better …",https://ieeexplore.ieee.org/abstract/document/1324605/,"F Raynal, Y Berthier, P Biondi… - IEEE Security & …, 2004 - ieeexplore.ieee.org",forensics part 1: analyzing the network,2004
26,"Attacks against smartphones are becoming commonplace today, especially since they are connected to the Internet at all times. Current attacks range from worms and botnets [9], to user installed Trojans [8]. New vulnerabilities in smartphones emerge fast particularly since …",https://www.mulliner.org/collin/publications/HoneyDroid__Creating_a_Smart_Phone_Honeypot.pdf,", ,  - IEEE Symposium on Security and …, 2011 - mulliner.org",Poster: Honeydroid-creating a smartphone ,2011
27,"This paper presents a summary of university research performed on techniques and summarizes the results Honeypots are computing resources that serve no other purpose on a network than to be a target for attackers, and log data about the attacks. Low …",https://ieeexplore.ieee.org/abstract/document/1579742/,"R McGrew - Proceedings of the 39th Annual Hawaii …, 2006 - ieeexplore.ieee.org","Experiences with honeypot systems: Development, deployment, and analysis",2006
28,This paper presents a survey on recent advances in research from a review of 80+ papers on honeypots and related topics mostly published after year 2005. This paper summarizes 60 papers that had significant contribution to the field. In reviewing the …,http://www.mecs-press.net/ijcnis/ijcnis-v4-n10/IJCNIS-V4-N10-7.pdf,"ML Bringer, CA Chelmecki, H Fujinoki - International Journal of …, 2012 - mecs-press.net",A survey: Recent advances and future trends in honeypot research,2012
29,"抄録 We analyze the increasing threats against IoT devices. We show that Telnet-based attacks that target IoT devices have rocketed since 2014. Based on this observation, we propose an IoT and sandbox, which attracts and analyzes Telnet-based attacks …",https://www.jstage.jst.go.jp/article/ipsjjip/24/3/24_522/_article/-char/ja/,"YMP Pa, S Suzuki, … - Journal of Information …, 2016 - jstage.jst.go.jp",Iotpot: A novel honeypot for revealing current iot threats,2016
30,"As is known in the art, the resources on the target network [0012] 120 are allocated network addresses which can be used by network hosts from across the public data network to address traffic intended for the target network 120. Accordingly, for example, where public data network 100 is a network …",https://patents.google.com/patent/US20040078592A1/en,"P Fagone, D Hendrie - US Patent App. 10/272,581, 2004 - Google Patents",System and method for deploying honeypot systems in a network,2004
31,"Nowadays, the number of web-browser targeted attacks that lead users to adversaries' web sites and exploit web browser vulnerabilities is increasing, and a clarification of their methods and countermeasures is urgently needed. In this paper, we introduce the design …",https://search.ieice.org/bin/summary.php?id=e93-b_5_1131,", M Iwamura, … - IEICE transactions on …, 2010 - search.ieice.org",Design and implementation of high interaction client honeypot for drive-by-download attacks,2010
32,"In this paper, we propose a method to identify and group together traces left on low interaction honeypots by machines belonging to the same botnet (s) without having any a priori information at our disposal regarding these botnets. In other words, we offer a solution …",https://www.sciencedirect.com/science/article/pii/S0167739X10001172,",  - Future Generation Computer Systems, 2011 - Elsevier",trace forensics: The observation viewpoint matters,2011
33,"With the recent advent of effective and practical virtual machine introspection tools, we revisit the use of hybrid honeypots as a means to implement automated malware collection and analysis. We introduce VMI-Honeymon, a high-interaction monitor which uses …",https://www.usenix.org/conference/cset12/workshop-program/presentation/Lengyel,", J Neumann, S Maresca, BD Payne… - CSET, 2012 - usenix.org",Virtual Machine Introspection in a Hybrid honeypot Architecture.,2012
34,"Honeypots are computer systems that try to fool cyberattackers into thinking they are ordinary computer systems, when in fact they are designed solely to collect data about attack methods and thereby enable better defense against attackers. Honeypots are more effective …",https://ieeexplore.ieee.org/abstract/document/1579551/,"NC Rowe - Proceedings of the 39th Annual Hawaii …, 2006 - ieeexplore.ieee.org",Measuring the effectiveness of honeypot counter-counterdeception,2006
35,Voice over IP (VoIP) or telephony services over Internet announces a new revolution in the telecommunication world tor its management simplicity and cost reduction. VoIP security extends the existent risk range of IP protocols and infrastructures and introduces new attacks …,https://ieeexplore.ieee.org/abstract/document/4258527/,", R State,  - 2007 10th IFIP/IEEE International …, 2007 - ieeexplore.ieee.org",VoIP honeypot architecture,2007
36,"Files received by a mobile device are sampled for malware tracking. The method includes configuring file transfer mechanisms that use short-range communication technology on the mobile device to appear, to other devices, to be open for accepting all attempts to transfer …",https://patents.google.com/patent/US8528080B2/en,"B McCorkendale, JP Kelly, B Hernacki - US Patent 8,528,080, 2013 - Google Patents",Short-range mobile honeypot for sampling and tracking threats,2013
37,"To provide scalable, early warning and analysis of new Internet threats like worms or automated attacks, we propose a globally distributed, hybrid monitoring architecture that can capture and analyze new vulnerabilities and exploits as they occur. To achieve this, our …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.84.7009&rep=rep1&type=pdf,", E Cooke, D Watson, F Jahanian… - Univ. Michigan, Ann …, 2004 - Citeseer",A hybrid honeypot architecture for scalable network monitoring,2004
38,The deployment of low-interaction honeypots used mainly as deception tools has become more and more common these days. Another interesting but more resource and time consuming playground is made available thanks to high interaction honeypots where a …,https://ieeexplore.ieee.org/abstract/document/1437793/,"F Raynal, Y Berthier, P Biondi… - Proceedings from the …, 2004 - ieeexplore.ieee.org",forensics,2004
39,"Advanced metering infrastructure (AMI) is an important component for a smart grid system to measure, collect, store, analyze, and operate users consumption data. The need of communication and data transmission between consumers (smart meters) and utilities make …",https://ieeexplore.ieee.org/abstract/document/7857804/,", M Du, … - IEEE Transactions on …, 2017 - ieeexplore.ieee.org",Strategic honeypot game model for distributed denial of service attacks in the smart grid,2017
40,"A method, system, apparatus, or computer program product is presented for morphing a system on a dynamic and configurable basis. The morphing emulates a variety of services while falsely presenting information about potential vulnerabilities within …",https://patents.google.com/patent/US7694339B2/en,"KW Blake, VK Converse, RON Edmark… - US Patent …, 2010 - Google Patents",Method and system for morphing honeypot with computer security incident correlation,2010
41,"Modern attacks are being made against client side applications, such as web browsers, which most users use to surf and communicate on the internet. Client honeypots visit and interact with suspect web sites in order to detect and collect information about malware to …",https://ieeexplore.ieee.org/abstract/document/5463678/,",  - 2010 Third International Conference on …, 2010 - ieeexplore.ieee.org",Honeyware: a web-based low interaction client ,2010
42,"The Denial-of-Service (DoS) attack remains a challenging problem in the current Internet. In a DoS defense mechanism, a acts as a decoy within a pool of servers, whereby any packet received by the is most likely an attack packet. We have previously …",https://ieeexplore.ieee.org/abstract/document/1639674/,", , … - Proceedings 20th IEEE …, 2006 - ieeexplore.ieee.org",back-propagation for mitigating spoofing distributed denial-of-service attacks,2006
43,"In this survey, we give an extensive overview on honeypots. This includes not only software but also methodologies to analyse data. Subjects: Cryptography and Security (cs. CR); Networking and Internet Architecture (cs. NI) ACM classes: C. 2.0; C. 2.2; …",https://arxiv.org/pdf/1608.06249,", , , C Keil… - arXiv preprint arXiv …, 2016 - arxiv.org",A survey on honeypot software and data analysis,2016
44,"Although flows are an effective method for monitoring honeypots in real time, they are not sufficient if we want to learn more about the intruder. To accomplish this goal, we must investigate the compromised host itself. In this article, we show how to build two timelines of …",https://ieeexplore.ieee.org/abstract/document/1341417/,"F Raynal, Y Berthier, P Biondi… - IEEE security & …, 2004 - ieeexplore.ieee.org","forensics, Part II: analyzing the compromised host",2004
45,"Wireless mesh networking (WMN), the static mesh routers (MRs) cooperatively relay each other packets to the Internet Gateway (IGW). The routing protocols assume all the nodes in the network to be non-malicious. However, the open architecture of WMNs paves way to …",https://ieeexplore.ieee.org/abstract/document/5336925/,"A Prathapani, L Santhanam… - 2009 IEEE 6th …, 2009 - ieeexplore.ieee.org",Intelligent honeypot agent for blackhole attack detection in wireless mesh networks,2009
46,"Background There is a paucity of evidence to guide the best strategy for prevention of peritoneal-dialysis-related infections. Antibacterial honey has shown promise as a novel, cheap, effective, topical prophylactic agent without inducing microbial resistance. We …",https://www.sciencedirect.com/science/article/pii/S1473309913702585,", , EM Pascoe, … - The Lancet Infectious …, 2014 - Elsevier",Antibacterial honey for the prevention of peritoneal-dialysis-related infections (honeypot ): a randomised trial,2014
47,"In HCI, the effect describes how people interacting with a system passively stimulate passers-by to observe, approach and engage in an interaction. Previous research has revealed the successive engagement phases and zones of the effect …",https://dl.acm.org/citation.cfm?id=2901796,", , , … - Proceedings of the …, 2016 - dl.acm.org",Uncovering the honeypot effect: How audiences engage with public interactive systems,2016
48,"Disclosed herein are systems, methods, and computer-readable storage media for a addressing cyber threats enabled by convergence of data and communication services in an enterprise network. Suspicious incoming VoIP calls from the Internet to the …",https://patents.google.com/patent/US8752174B2/en,"JF Buford, V Krishnaswamy - US Patent 8,752,174, 2014 - Google Patents",System and method for VoIP honeypot for converged VoIP services,2014
49,"We present an application of a in detection collaboration with an intrusion detection system. We have designed and implemented a port-scan detection system for scan detection, which can work as a module of the intrusion detection system and …",https://ieeexplore.ieee.org/abstract/document/1345313/,"C Yin, M Li, J Ma, J Sun - Canadian Conference on Electrical …, 2004 - ieeexplore.ieee.org",and scan detection in intrusion detection system,2004
50,"A is a decoy computer system used in network security to waste the time and resources of attackers and to analyze their behaviors. While there has been significant research on how to design systems, less is known about how to use honeypots …",https://link.springer.com/chapter/10.1007/978-3-642-34266-0_12,", , , … - … Conference on Decision …, 2012 - Springer",Game theoretic model of strategic honeypot selection in computer networks,2012
51,"ABSTRACT A is a security resource, which is intended to be attacked and compromised to gain more information about the attacker and his attack techniques. A can also indicate about how to perform forensics. The information gathered by …",https://www.researchgate.net/profile/Urjita_Thakar/publication/238636458_HoneyAnalyzer_-_Analysis_and_Extraction_of_Intrusion_Detection_Patterns_Signatures_Using_Honeypot/links/5805edf908ae5ad188154529/HoneyAnalyzer-Analysis-and-Extraction-of-Intrusion-Detection-Patterns-Signatures-Using-Honeypot.pdf,", S Varma, AK Ramani - Proceedings of the Second …, 2005 - researchgate.net",HoneyAnalyzer–analysis and extraction of intrusion detection patterns & signatures using ,2005
52,"With the improvement of software security, attacks based on RPC vulnerabilities declined, however, attacks based on client application software vulnerabilities have increased. Such client application software includes Web browsers, email client and office. The spread of …",https://ieeexplore.ieee.org/abstract/document/4709194/,"X Sun, Y Wang, J Ren, Y Zhu… - 2008 The 9th International …, 2008 - ieeexplore.ieee.org",Collecting internet malware based on client-side ,2008
53,A method and system are described of providing an electronic device with a software environment having a mode of operation to which the device is capable of switching upon recognition of a message from an external device or of a pre-determined …,https://patents.google.com/patent/US8479288B2/en,", JFS Wilson,  - US Patent 8,479,288, 2013 - Google Patents",Method and system for providing a honeypot mode for an electronic device,2013
54,"Attack detection in high-speed networks is a hot research topic. While the performance of packet oriented signature-based approaches is questionable, flow-based anomaly detection shows high false positive rates. We tried to combine both techniques. In this paper, we study …",https://ieeexplore.ieee.org/abstract/document/5755487/,", W Jaegers, R German - … in Distributed Systems-15 …, 2007 - ieeexplore.ieee.org",Flow-based worm detection using correlated honeypot logs,2007
55,"Computer systems are commonly attacked by malicious transport contacts. We present a comparative study that analyzes to what extent those attacks depend on the network access, in particular if an adversary targets specifically on mobile or non-mobile devices. Based on a …",https://dl.acm.org/citation.cfm?id=2342422,", S Trapp, C Keil, J Schönfelder… - Proceedings of the …, 2012 - dl.acm.org",First insights from a mobile ,2012
56,"In recent years, the amount and the sophistication of cyber attacks has increased significantly. This creates a plethora of challenges from a security perspective. First, for the efficient monitoring of a network, the generated alerts need to be presented and summarized …",https://dl.acm.org/citation.cfm?id=2799999,", , … - Proceedings of the 8th …, 2015 - dl.acm.org",A honeypot -driven cyber incident monitor: lessons learned and steps ahead,2015
57,"Honeypots are physical or virtual machines successfully used as intrusion detection tools to detect worm-infected hosts. Denial of service (DoS) attack consumes the resources of a remote client or network itself, there by denying or degrading the service to the legitimate …",https://ieeexplore.ieee.org/abstract/document/4777392/," - 2009 International Conference on Advanced …, 2009 - ieeexplore.ieee.org",scheme for distributed denial-of-service,2009
58,"Honeypots are flexible security tools for gathering artefacts associated with a variety of Internet attack activities. While existing work on traffic analysis focuses mainly on identifying existing attacks, this paper describes a technique for detecting new attacks based …",https://ieeexplore.ieee.org/abstract/document/5076341/,"S Almotairi, , G Mohay… - … Conference on Internet …, 2009 - ieeexplore.ieee.org",A technique for detecting new attacks in low-interaction honeypot traffic,2009
59,"Monitoring Internet traffic is critical in order to acquire a good understanding of threats and in designing efficient security systems. While honeypots are flexible security tools for gathering intelligence of Internet attacks, traffic collected by honeypots is of high dimensionality that …",https://ieeexplore.ieee.org/abstract/document/4663317/,"S Almotairi, , G Mohay… - 2008 IFIP International …, 2008 - ieeexplore.ieee.org",Characterization of attackers' activities in honeypot traffic using principal component analysis,2008
60,"With the development of the network attack technique, the increase of the security risk on the internet, each host in the network may be the target of the attack. technology can proactively detect and respond to the intrusion and the attack of the network. Compared with …",https://ieeexplore.ieee.org/abstract/document/5622780/,"J Bao, C Ji, M Gao - 2010 International Conference on …, 2010 - ieeexplore.ieee.org",Research on network security of defense based on ,2010
61,"A is a non-production system, design to interact with cyber-attackers to collect intelligence on attack techniques and behaviors. There has been great amount of work done in the field of network intrusion detection over the past three decades. With networks getting …",https://pdfs.semanticscholar.org/97d4/22a742acf356ff283ef64ec3ef9b280ccdfe.pdf,"YK Jain,  - International Journal on Computer …, 2011 - pdfs.semanticscholar.org",based secure network system,2011
62,"In this report we describe a low-interaction , which is capable of capturing autonomous spreading malware from the internet, named Amun. For this purpose, the software emulates a wide range of different vulnerabilities. As soon as an attacker exploits …",https://madoc.bib.uni-mannheim.de/2595/,JG Göbel - 2009 - madoc.bib.uni-mannheim.de,Amun: A python ,2009
63,"A method, system, apparatus, or computer program product is presented for morphing a system on a dynamic and configurable basis. The morphing emulates a variety of services while falsely presenting information about potential vulnerabilities within …",https://patents.google.com/patent/US20090328213A1/en,"KW Blake, VK Converse, RON Edmark… - US Patent App. 12 …, 2009 - Google Patents",Method and system for morphing ,2009
64,Page 1. Thorsten Holz – Laboratory for Dependable Distributed Systems 21st ChaosCommunication Congress - slide #1 Dependable Distributed Systems Anti- TechnologyThorsten Holz Laboratory for Dependable Distributed Systems holz@i4.informatik.rwth-aachen …,ftp://130.83.177.135/congress/2004/papers/109%20Anti-Honeypot%20Techniques.pdf, - 2005 - 130.83.177.135,Anti-honeypot technology,2005
65,"Malware has become one of the severest threats to the public Internet. To deal with the malware breakout ef-fectively as early as possible, an automated malware collection solution must be implemented as a precondition. An automated malware collection tool was …",http://en.cnki.com.cn/Article_en/CJFDTotal-TXXB200712004.htm,", X Han, , , J Guo… - … -CHINA INSTITUTE OF …, 2007 - en.cnki.com.cn",HoneyBow: An automated malware collection tool based on the high-interaction honeypot principle,2007
66,"Mobile nodes, in particular smartphones are one of the most relevant devices in the current Internet in terms of quantity and economic impact. There is the common believe that those devices are of special interest for attackers due to their limited resources and the serious …",https://arxiv.org/abs/1301.7257,", A Vorbach, C Keil, J Schönfelder… - arXiv preprint arXiv …, 2013 - arxiv.org","Design, implementation, and operation of a mobile ",2013
67,"In modern days, breakthroughs in information and communications technologies lead to more and more devices of every imaginable type being connected to the Internet. This also strengthens the need for protection against cyber-attacks, as virtually any devices with a …",https://ieeexplore.ieee.org/abstract/document/7442780/,", , , … - IEEE Internet of Things …, 2016 - ieeexplore.ieee.org",Deceptive attack and defense game in honeypot -enabled networks for the internet of things,2016
68,"Smart grids consist of suppliers, consumers, and other parts. The main suppliers are normally supervised by industrial control systems. These systems rely on programmable logic controllers (PLCs) to control industrial processes and communicate with the …",https://link.springer.com/chapter/10.1007/978-3-319-10329-7_12,"DI Buza, F Juhász, G Miru, … - … Workshop on Smart Grid …, 2014 - Springer",CryPLH: Protecting smart energy systems from targeted attacks with a PLC ,2014
69,"When traditional firewall and intrusion detection systems (IDS) are used to detect possible attacks from the network, they often make wrong decisions and block the legitimate connections. In this paper we propose a new architecture which is composed of distributed …",https://ieeexplore.ieee.org/abstract/document/4482815/,"B Khosravifar,  - 22nd International Conference on …, 2008 - ieeexplore.ieee.org",An experience improving intrusion detection systems false alarm ratio by using ,2008
70,This paper presents the lessons learned from an empirical analysis of attackers behaviours based on the deployment on the Internet of a high-interaction for more than 1 year. We focus in particular on the attacks performed via the SSH service and the activities …,https://link.springer.com/article/10.1007/s11416-010-0144-2,"V Nicomette, , E Alata,  - Journal in computer virology, 2011 - Springer",Set-up and deployment of a high-interaction honeypot : experiment and lessons learned,2011
71,"A network device comprises one or more processors coupled to a memory, and a dynamic services module configured for execution by the one or more processors to receive, from a client device, a service request specifying a service. The dynamic service module is further …",https://patents.google.com/patent/US9485276B2/en,"DJ Quinlan, O Ibatullin, B Burns, O Tavakoli… - US Patent …, 2016 - Google Patents",Dynamic service handling using a ,2016
72,"♦ Objectives: The primary objective of this study is to determine whether daily exit-site application of standardized antibacterial honey (Medihoney Antibacterial Wound Gel; Comvita, Te Puke, New Zealand) results in a reduced risk of catheter-associated infections …",http://www.pdiconnect.com/content/29/3/303.short,"…, P Snelling, Study Group - Peritoneal Dialysis …, 2009 - pdiconnect.com",The honeypot study protocol: a randomized controlled trial of exit-site application of medihoney antibacterial wound gel for the prevention of catheter-associated …,2009
73,"Abstract A Wireless Mesh Network (WMN) is a promising way of providing low-cost broadband Internet access. The underlying routing protocol naively assumes that all the nodes in the network are non-malicious. The open architecture of WMN, multi-hop nature of …",https://link.springer.com/article/10.1007/s11227-010-0547-3,"A Prathapani, L Santhanam,  - The Journal of Supercomputing, 2013 - Springer",Detection of blackhole attack in a Wireless Mesh Network using intelligent honeypot agents,2013
74,"This paper intends to illustrate the usefulness of deploying multiple simple sensors in a large variety of locations. Indeed, a permanent identification of anomalies that occur on a single sensor allows pinpointing abnormal local activities. These can be the manifest of …",https://ieeexplore.ieee.org/abstract/document/1592526/,"PT Chen, CS Laih, F Pouget… - … Workshop on Systematic …, 2005 - ieeexplore.ieee.org",Comparative survey of local honeypot sensors to assist network forensics,2005
75,"This paper presents an intrusion detection module based on honey pot technology, which utilizes IP Trace back technique. By using the mobile agents, this module has the capability of distributed detection and response, the whole detection module can be extended with …",https://ieeexplore.ieee.org/abstract/document/6187883/,"L Dongxia, Z Yongbo - 2012 international conference on …, 2012 - ieeexplore.ieee.org",An intrusion detection system based on honeypot technology,2012
76,Identification of spam domains is performed automatically by a system. The system searches sources of Internet domains based on user input to identify Internet domains which are candidates for acting as a domain. The list of domains is refined by a …,https://patents.google.com/patent/US7904958B2/en," - US Patent 7,904,958, 2011 - Google Patents",Spam honeypot domain identification,2011
77,"We measured the energy costs of locomotion and load carriage in two species of the ant, Myrmecocystus. The diurnal forager, Myrmecocystus mendax, ran voluntarily in a running tube respirometer at 40° C. After running for about an hour, foragers were …",https://www.journals.uchicago.edu/doi/abs/10.1086/physzool.67.1.30163842,",  - Physiological Zoology, 1994 - journals.uchicago.edu","The burden within: the energy cost of load carriage in the honeypot ant, Myrmecocystus",1994
78,"The wide spread of cyber-attacks made the need of gathering as much information as possible about them, a real demand in nowadays global context. The systems have become a powerful tool on the way to accomplish that. Researchers have already …",https://ieeexplore.ieee.org/abstract/document/6866707/,",  - 2014 10th International Conference on …, 2014 - ieeexplore.ieee.org",RASSH-Reinforced adaptive SSH ,2014
