,abstract,link,reference,title,year
10,,,"PD Snashall, FA  - Bull. Physiopath. Resp., 1972",,1972
11,,,"T Bôoter - X. bericht, 1981",,1981
12,"… In this paper, we investigate the phenomenon of low- cost DDoS-As-a-Service also knownas  services … There are two main com- ponents of these  services: the attackinfrastruc- ture and the code to manage the service and launch at- tacks … ",https://www.usenix.org/conference/leet13/workshop-program/presentation/Karami,"M Karami,  - Presented as part of the 6th {USENIX} Workshop …, 2013 - usenix.org",Understanding the emerging threat of ddos-as-a-service,2013
13,"… In addition, existing literature in this area provides only a partial understanding of the threat, forex- ample by analyzing only a few aspects of one specific  … The  business case iscomposed of the  Customer, the  itself, and the Target system … ",https://link.springer.com/chapter/10.1007/978-3-662-43862-6_10,",  - IFIP International Conference on Autonomous …, 2014 - Springer",Characterizing and mitigating the DDoS-as-a-service phenomenon,2014
14,,,B Krebs - 2016,,2016
15,… filter. The internal state of the SFMT is very large and therefore a so-called is used for initialization. This  expands the key and the IV to a sequence of156 128-bit integers that are used to fill the state of the SFMT … ,https://repository.ubn.ru.nl/bitstream/handle/2066/127425/127425.pdf?sequence=1,", , C Clavier, , A Gouget… - 2008 - repository.ubn.ru.nl",Susceptibility of eSTREAM candidates towards side channel analysis,2008
16,"To all whom it may concern; 3e it known that I, BEN, A\, N Titt S, 3 citizen of the United States, residing at Wellville, in the conty of Not to way at 5 State of Virginia, have invented certain new and useful Improvements in 3root torn Booters, of which the following is …",https://patents.google.com/patent/US1036030A/en,"B Titus - US Patent 1,036,030, 1912 - Google Patents",Broom-corn booter .,1912
17,"… In a variation on this embodiment, prior to restoring the reanimation code, the system comparesa stored  checksum, which was stored while generating the hibernation image, againsta current  checksum for a  which is currently restoring the animation code … ",https://patents.google.com/patent/US7640440B2/en,"D Reece, SM Douglas - US Patent 7,640,440, 2009 - Google Patents",Method and apparatus for facilitating device hibernation,2009
18,Distributed Denial-of-Service (DDoS) attacks have been a very effective tool for skilled attackers to disrupt online services. In recent years a new phenomenon appeared that offers similar attack capabilities to unskilled users at the press of a button. These so called  …,http://essay.utwente.nl/68421/1/DeVries_MA_EEMCS.pdf,J de Vries - 2015 - essay.utwente.nl,The Generation of booter (black) lists,2015
19,"… Page 6. 6 MAKOTO MATSUMOTO, MUTSUO SAITO, TAKUJI NISHIMURA, AND MARIKO HAGITAFigure 4.  of CryptMT Ver.3. perm-shift1: x ↦→ (x[2][1][0][3]) ⊕ (x >>32 13). perm-shift2: x ↦→(x[1][0][2][3]) ⊕ (x >>32 11) … 2.5. A new  for the initialization … ",https://www.cosic.esat.kuleuven.be/ecrypt/stream/p3ciphers/cryptmt/cryptmt_p3.pdf,"M Matsumoto, M Saito, T Nishimura… - … Stream Cipher Project …, 2007 - cosic.esat.kuleuven.be",CryptMT stream cipher version 3,2007
20,I would like to express my deepest gratitude to Dr. Damon McCoy for working so closely with me on my projects and making this dissertation possible. I would also like to thank my dissertation chair Dr. Songqing Chen for his valuable guidance and advice that enabled me …,http://ebot.gmu.edu/bitstream/handle/1920/10481/Karami_gmu_0883E_11218.pdf?sequence=1&isAllowed=y,M Karami - 2016 - ebot.gmu.edu,Understanding and Undermining the Business of DDoS booter Services,2016
21,"Summary The expansion of Distributed Denial of Service (DDoS)–for‐hire websites, known as Booters, has radically modified both the scope and stakes of DDoS attacks. Until recently, however, Booters have only received little attention from the research community. Given …",https://onlinelibrary.wiley.com/doi/abs/10.1002/nem.2008,", J de Vries… - … Journal of Network …, 2018 - Wiley Online Library",list generation: The basis for investigating DDoS‐for‐hire websites,2018
22,… attacks. The first level is formed by botnets that start the attack once they receive specificcommands from the  … code. Finally we observed that each  used between3000 to 8000 DNS resolvers for amplifying the DNS attack … ,https://link.springer.com/chapter/10.1007/978-3-319-31559-1_1,", , … - International GI/ITG …, 2016 - Springer",DDoS 3.0-How terrorists bring down the internet,2016
23,"… 110. As is illustrated in FIG. 2 , NVRAM 118 stores a number of items, including:decryption key 202,  checksum 204, hibernation flag 206, image block number208, and system configuration information 210. These items … ",https://patents.google.com/patent/US7900074B2/en,"D Reece, J Sokol - US Patent 7,900,074, 2011 - Google Patents",Method and apparatus for quickly reanimating devices from hibernation,2011
24,"… where | denotes the bit-wise-or. Then, zi is separated into 16 of 8-bit integers from the lower bitsto the upper bits, and used as the 8-bit integer outputs. 2.5 A New  for the Initialization … Ourstrategy introduced in [7] is to use a smaller PRNG called the  … ",https://link.springer.com/chapter/10.1007/978-3-540-68351-3_2,"M Matsumoto, M Saito, T Nishimura… - New Stream Cipher …, 2008 - Springer",CryptMT3 stream cipher,2008
25,"… 110. As is illustrated in FIG. 2 , NVRAM 118 stores a number of items, including:decryption key 202,  checksum 204, hibernation flag 206, image block number208, and system configuration information 210. These items … ",https://patents.google.com/patent/US7519808B2/en,"D Reece, J Sokol - US Patent 7,519,808, 2009 - Google Patents",Method and apparatus for quickly reanimating devices from hibernation,2009
26,"… The number of DDoS attacks in third quarter of 2015 increased by 179.66% in comparison withthird quarter of 2014, and increased by 22.79% in comparison with second quarter of 2015[1].One of the DDoS threat is a service called  (also called stresser) … ",https://ieeexplore.ieee.org/abstract/document/7789752/,"T Hirakawa, K Ogura, BB Bista… - 2016 19th International …, 2016 - ieeexplore.ieee.org",A defense method against distributed slow HTTP DoS attack,2016
27,,,B Krebs - URL https://krebsonsecurity. com/2016/10/hackforums …,,2016
28,"… 3.2 Bluetooth Scanner The Bluetooth scanner is shown in Figure 1(b) with three components:, Bluetooth inquirer, and Bluetooth re- ceiver … 3.3 Wifi Scanner The Wifi scanner is shownin Figure 1(c) with three com- ponents: , Wifi inquirer, and Wifi receiver … ",http://www.ideals.illinois.edu/handle/2142/16355, - 2010 - ideals.illinois.edu,Lessons learned from bluetooth/wifi scanning deployment in university campus,2010
29,"… Date: January 23, 2006. Key words and phrases. Cryptographic Mersenne Twister, CryptMT,Pulmonary Mersenne Twister, stream cipher,  … If the message length is smaller than N, thenthe mother generator is never used: only the  is used for the necessary times … ",http://www.ecrypt.eu.org/stvl/sasc2006/SASC2006full.pdf#page=249,"M Matsumoto, M Saito, T Nishimura… - SASC 2006 Stream …, 2006 - ecrypt.eu.org",CryptMT Version 2.0: a large state generator with faster initialization,2006
30,,,"E Kluwe - von J. Gebauer-E. Grabow-F. Junger-D. Metzler …, 2004",,2004
31,"… When questioned, the student admitted to having used a  – a website thatoffers DDoS-as-a- Service, usually for a paid fee – to attack his own school … The goalof this paper is to create awareness around  attacks … ",https://ieeexplore.ieee.org/abstract/document/7140298/,", … - 2015 IFIP/IEEE …, 2015 - ieeexplore.ieee.org",Booters—An analysis of DDoS-as-a-service attacks,2015
32,"… On other architectures (eg, the Macintosh), the kernel is loaded directly by an application (the) running in the native operating system (eg, MacOS). In this case, the stand-alone kernelis not used and its function is moved into the  (see Section 2.4) … 2.4 The  … ",http://ivanlef0u.fr/repo/madchat/sysadm/kern/kern.bsd/291.paper.ps,L Kesteloot - 1995 - ivanlef0u.fr,Porting BSD UNIX to a New Platform,1995
33,"… In a variation on this embodiment, prior to restoring the reanimation code, the system comparesa stored  checksum, which was stored while generating the hibernation image, againsta current  checksum for a  which is currently restoring the animation code … ",https://patents.google.com/patent/US8327171B2/en,"D Reece, SM Douglas - US Patent 8,327,171, 2012 - Google Patents",Method and apparatus for facilitating device hibernation,2012
34,,,"D Vittalapai, M Shyamala, F Maloto - Light Metals, 2007",,2007
35,"… The hacker can therefore surreptitiously steal the user's password. Without a chainof trust from the  to the operating system kernel, such attacks are able to defeateven full-disk encrypted computing devices. SUMMARY … ",https://patents.google.com/patent/US8560845B2/en,"I Krstić, J Even - US Patent 8,560,845, 2013 - Google Patents",System and method for tamper-resistant booting,2013
36,… and: 49 uv Toward the rear and also below the lowermost gathering-bands are located rotatablehorizontal  cylinders 50- mounted on shafts 51 and 52 carried in bearings 53 guided forhorizontalslidingin brackets 54 attached to frame-structure 14 …  cylinders 50 … ,https://patents.google.com/patent/US1781961A/en,"S Augustus - US Patent 1,781,961, 1930 - Google Patents",Broomcorn harvester,1930
37,"… In a variation on this embodiment, prior to restoring the reanimation code, the system comparesa stored  checksum, which was stored while generating the hibernation image, againsta current  checksum for a  which is currently restoring the animation code … ",https://patents.google.com/patent/US8161306B2/en,"D Reece, SM Douglas - US Patent 8,161,306, 2012 - Google Patents",Method and apparatus for facilitating device hibernation,2012
38,… These classes are written using the Java language and run on the JVM. The Java API includeseverything from collection classes to GUI classes.  Kernel System Library jHISC NativeTask Java Virtual Machine jHISC API Host Classes Class Loader Java Applications … ,https://dl.acm.org/citation.cfm?id=963724,"GKW Hau, A Fong, MP Lun - … of the 1st international symposium on …, 2003 - dl.acm.org",Support of Java API for the jHISC system,2003
39,"… 1. Een hoeve leggende int wout buyten Amersfoirt onder die caspel van Luesden genaemt Hohorstgroot synde 127 mergen daer oostwerdt nae gheleghen is Frans van Woord wyck, west- werdtHeynrick Versper ende Jan  van Snellenborch ende die weduwe van … ",https://dspace.library.uu.nl/bitstream/handle/1874/238099/MOUT_1958-04_1.pdf?sequence=1,"D Philips - Maandblad van Oud-Utrecht, jg. 31 (1958), nr. 4, p …, 1958 - dspace.library.uu.nl",Het Liber Secretorum van het kapittel ter Horst bij Rhenen,1958
40,"… Second, how does an OS run different processes? The following program, denoted byMTX4.0, is similar to a  … To run the mtx0 program, we need a MTX , which loads themtx0 image to the segment 0x1000 and sends the CPU to execute the mtx0 code … ",https://link.springer.com/chapter/10.1007/978-3-319-17575-1_4,"KC Wang - Design and Implementation of the MTX Operating …, 2015 - Springer",A Simple Operating System Kernel,2015
41,… NAMING SERVICE .....9 DOMAIN  (COREFRAMEWORK/SERVER) .... 9 NODE  (DEVICEMANAGER … ,https://apps.dtic.mil/docs/citations/ADA432045,M Gudaitis - 2005 - apps.dtic.mil,Open Radio Communications Architecture Core Framework V1. 1.0. Volume 2. Quick Reference Guide,2005
42,"… In commonly owned US Pat. No. 4,712,239 to Frezza, et al. entitled ""Security Arrangement forDownloadable Cable Television Converters"", incorporated herein by reference, a downloadableconverter is disclosed that prevents a false  image from being downloaded … ",https://patents.google.com/patent/US5003591A/en,"MW Kauffman, MR Miller - US Patent 5,003,591, 1991 - Google Patents",Functionally modifiable cable television converter system,1991
43,"Why should you care about Distributed Denial of Service (DDoS) attacks? If your Internet home connection would be the target of a DDoS attack, then not only your connectivity is gone, but also your telephone and TV programs. This is because many homes have triple …",https://www.narcis.nl/publication/RecordID/oai:ris.utwente.nl:publications%2F2d2e34c7-c051-4c25-8ccf-688d979fb74a, - 2017 - narcis.nl,DDoS-as-a-Service: Investigating booter Websites,2017
44,"Abstract Distributed Denial of Service (DDoS) attacks-as-a-service, known as or Stresser, is convenient and low-priced for ordinary people to launch DDoS attacks. It makes DDoS attacks even more rampant. However, until now there is not much research on  …",https://link.springer.com/chapter/10.1007/978-3-030-12981-1_37,"W Zhang, X Bai, C Chen, Z Chen - International Conference on …, 2018 - Springer",Blacklist Generation Based on Content Characteristics,2018
45,"Baosteel Power Plant Unit 4 is the first one in the world that has a BFG generator with the maximum flow rate of 1 031 km3/h. It is equipped with three dual-speed BFG booster fans. When the supplier designed the switching program for the BFG booster fans, it was to use …",http://en.cnki.com.cn/Article_en/CJFDTOTAL-BGJS201006006.htm,"M QIAN, X YANG - Baosteel Technology, 2010 - en.cnki.com.cn",Analysis and Improvement of the High-speed Switching Program for booter Fans,2010
46,,,"HJ Lawlor - The Journal of the Royal Society of Antiquaries of …, 1931 - JSTOR",,1931
47,… Title: BROOM-CORN . United States Patent 1036030. Inventors: TITUS BENJAMIN(US). Application Number: US1912669195A. Filing Date: 01/03/1912. Export Citation: Clickfor automatic bibliography generation. Assignee: BENJAMIN TITUS. Primary Class: 460/135 …,http://www.freepatentsonline.com/1036030.html,"T BENJAMIN - US Patent App. 1/036,030, 1912 - freepatentsonline.com",BROOM-CORN booter .,1912
48,,,AV Guide,,
49,"… Bootstrapping in R copyright 2009, UCAR, all rights reserved.  <- function( d, i) { A <- verify(d[i, “Observed”], d[i, “Forecast”], frcst.type=“cont”, obs.type=“cont”) return(c( A$MAE, A$ME,A$MSE)) } # end of '' function. Function to compute the statistic(s) of interest … ",https://ral.ucar.edu/staff/ericg/GillelandCItalkVxColloquium2010.pdf, - 2009 - ral.ucar.edu,Confidence Intervals,2009
50,"… At the same time it has never been easier to execute DDoS attacks, eg,  services offerpaying customers without any technical knowledge the possibility to perform DDoS attacks asa service [2]. Nowadays, mitigation of DDoS is performed using tra- ditional security … ",http://annasperotto.org/papers/2016/steinberger-tnc-2016.pdf,"K Graul, , U Piontek, , H Baier… - annasperotto.org","Jessica Steinberger, José Jair Santanna, Evangelos Spatharas, Hendrik Amler, Niklas Breuer",
51,"… William Jenkins  is a minor functionary in the Admiralty with access to secret files … conspirator in the Admiralty is Myra Harkness, a traitor who lives 'a life thattended to be lived in a chaotic route from titillation to fulfilment … ",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8705.2010.01908.x,"S French - Critical Quarterly, 2010 - Wiley Online Library",Simon Gray's spy novel,2010
52,"… where | denotes the bit-wise-or. Then, zi is separated into 16 of 8-bit integers from the lower bitsto the upper bits, and used as the 8-bit integer outputs. 2.5 A new  for the initialization … Ourstrategy introduced in [7] is to use a smaller PRNG called the  … ",https://pdfs.semanticscholar.org/aea5/f216f32655aa05c0304f5cc6dab24e2fbc24.pdf,"M Matsumoto, M Saito, T Nishimura… - Lecture Notes in … - pdfs.semanticscholar.org",CryptMT Stream Cipher Ver. 3: Description,
53,"… Booters are small‐scale DDoS services that are available for hire, openly advertising themselvesas “stress testing” services.13 While legitimate stress testing services do exist, similar tocommercially available penetration testing services, these  operations are unlike … ",https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.3537,", S Zeadally,  - Transactions on Emerging …, 2019 - Wiley Online Library",An empirical investigation of botnet as a service for cyberattacks,2019
54,,,HK Harish,,
55,… filter. The internal state of the SFMT is very large and therefore a so-called is used for initialization. This  expands the key and the IV to a sequence of156 128-bit integers that are used to fill the state of the SFMT … ,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.182.1606&rep=rep1&type=pdf,"B Gierlichs, , C Clavier, , A Gouget… - Citeseer",Side Channel Analysis,
56,"… those 59 minutes the Cadets drove inside the Albany 20 yard line, five times they failed to score.Three fumbles and two missed field goals kept the Cadets off the scoreboard. So much canhappen in one minute..  Afrim Nezaj Chosen Second by Stallions of MISL … ",https://pdfs.semanticscholar.org/bf51/9623d822ce2d01b50087e41b7b6ca796de46.pdf,L Kahri - 1981 - pdfs.semanticscholar.org,Danes Catch Norwich Napp-ing in 7-0 Triumph,1981
57,Page 1. r .. t ' • ; -· DO NOT CfBCI !lcftTfEHEH . . NOV 15 7tX1 · : B v Pueoc t!OBRM?E[ect1on.re.~rt1t~.~~~L ___ ~rney .cAomlng ~ ag ~f~ov[ e 0 1 1 rena to state sem11na s seEl z~oE;~~0 i~v~~~~~i~~ section 0 See Page 24 ===== EtO:> … ,http://www.bethlehempubliclibrary.org/webapps/spotlight/years/2000/2000-11-15.pdf,JA PHILLIPS - bethlehempubliclibrary.org,"Decisions, decisions Delaware Avenue is back to 4-lane traffic",
58,"… The WiFi scanner is shown in Fig. 2(a) with three decoupled components: a , a WiFi inquirer,and a WiFi receiver … WiFi scanner runs as a background service, anytime the phone restarts, thephone OS triggers the , which starts the WiFi inquirer and the WiFi receiver … ",https://www.sciencedirect.com/science/article/pii/S1574119214001898,", , … - Pervasive and Mobile …, 2015 - Elsevier",Characterizing and modeling people movement from mobile phone sensing traces,2015
59,… This article is courtesy of Weststar TalkRadio Network. Best wishes to all for a happy and fulfilling2013! Page 2. The Computer  / January 2013 2 Club News Membership Report … We thankyou all! Page 4. 4 The Computer  / January 2013 Club News Program Update … ,http://www.computerbooters.org/uploads/2/4/4/0/24407507/1_-_jan._2013.pdf,"CTC Update - Computer, 2013 - computerbooters.org",ComputerBooter,2013
60,"… The Power Tutor tool informs the users the power consumption of decisions to the end user .Thepower model in Power Tutor includes six components: It includes other model Power-,an automatic battery state of discharge based power model generation technique … ",https://pdfs.semanticscholar.org/77fd/a54f093b1e83056a557223ff5f1a04fe7d4a.pdf,"S Aswini, , TP Raja - pdfs.semanticscholar.org",An Effective Approach to Detect Malware that Exploit Information Hiding in Android Devices,
61,"… We discuss and provide grounds for critical thinking on what should be further done toward mitigation. INTRODUCTION Booters can easily be found on the public web throughsearch engines (eg, Google) … In 2016, the vDos  [2] was report … ",https://ieeexplore.ieee.org/abstract/document/7981523/,", , … - IEEE …, 2017 - ieeexplore.ieee.org","Quiet Dogs Can Bite: Which Booters Should We Go After, and What Are Our Mitigation Options?",2017
62,"… f Iff- - xVf- - 1 .-- ,1 - :,: mm --it r :-- .. 1 r-- r Bad Connection? Charlie Jacobs, MaintenanceDirector, holds four casualties of phone vandalism from Old Kenyon. Vandalism Increase?Telephones Target  Cabot Ties Soccer Mark 3 'V. I … ",https://digital.kenyon.edu/cgi/viewcontent.cgi?article=2024&context=collegian,"J PALFFY, ADK Williamson - digital.kenyon.edu",Kenyon,
63,"… While legitimate stress testing services do exist, similar to commercially available penetrationtesting services, these “” operations are unlike legitimate commercial operations in thatthey allow attacks to be launched without verifying the identity of their customer or … ",https://media.blackhat.com/us-13/US-13-Nixon-Denying-Service-to-DDOS-Protection-Services-WP.pdf,"A Nixon, C Camejo - Black Hat USA, 2013 - media.blackhat.com",DDoS protection bypass techniques,2013
64,"… 2  … 13 Index 19 1 Page 2. 2  distillery-package distillery: Methods to DistillInformation from R Objects Description distillery contains primarily method functions to distill outpertinent information from R objects, as well as to compute confidence intervals … ",http://cran.stat.unipd.it/web/packages/distillery/distillery.pdf,", ME Gilleland - 2019 - cran.stat.unipd.it",Package 'distillery',2019
65,"… They.laugh harder. Hank glances at BAR AREA  (barmaid), hands pack of cigarettesto Sonny from front of bar. She's a pretty girl. SONNY Fairly drunk. Leans into her. SONNY, how you doing?  Just gimme the two fifty, Sonny … ",http://www.sellingyourscreenplay.com/wp-content/uploads/screenplay/scripts/Monster-s-Ball.pdf,"M Addica, W Rokos - 2001 - sellingyourscreenplay.com",Monster's Ball,2001
66,"… message to each processor. Each processor terminates all operations in progressafter receiving the call termination message from the OMP 5. And, operating systemperforms restart-up by using a . When restart-up is … ",https://patents.google.com/patent/US7224958B2/en,"SJ Dokko - US Patent 7,224,958, 2007 - Google Patents",Method and system for managing accounting information in an MSC,2007
67,"… Upon initially starting, SVP 160 receives packets from a processor loader execution (PLX)block using a  … When SVP 160 is started, a  of SVP 160 requests a data loadingfrom a selector interface processor (SIP) 150 (step 501) … ",https://patents.google.com/patent/US6389001B1/en,"U Lee - US Patent 6,389,001, 2002 - Google Patents",Method for downloading data to add functions to vocoder,2002
68,"… According to [1], the websites are frequently accessed through aggregated  lists (eg,top10stressers.com, thebestbooters.com), hacker sites (eg, hackforums.net, hackbulletin.com)or Skype resolvers that translate Skype nicknames to latest IP addresses (eg, iskyperesolve … ",https://link.springer.com/chapter/10.1007/978-3-319-25645-0_9,"V Bukac, V Stavova, L Nemec, … - … Conference on Network …, 2015 - Springer",Service in denial–clouds going with the winds,2015
69,"… Na betaling van een paar euro kan iedere script-kiddie via deze websites aanvallen uitvoerenop een willekeurig doel. Deze 'diensten', die ook wel bekend staan onder de namen '' en'stresser', blijken uiterst effectief te zijn. 4.1.Hoe werkt een DDoS-aanval … ",https://trese.cs.utwente.nl/~pras/publications/2014-11-13-oratie.pdf,N OPERATIONS - trese.cs.utwente.nl,ALLE DAGEN INTERNET-BEHEERSEN DOOR BEHEREN,
70,"… Na betaling van een paar euro kan iedere script-kiddie via deze websites aanvallen uitvoerenop een willekeurig doel. Deze 'diensten', die ook wel bekend staan onder de namen '' en'stresser', blijken uiterst effectief te zijn. 4.1.Hoe werkt een DDoS-aanval … ",https://ris.utwente.nl/ws/files/5139912/oratieboekje_A_Pras.pdf,D BEHEREN - 2014 - ris.utwente.nl,ALLE DAGEN INTERNET-BEHEERSEN,2014
71,… The existing works that investigate this phenomenon are all restricted to the analysis of a single and therefore provide a narrow overview of the phenomenon. In this paper we extendthe existing work by providing an extensive analysis on 15 distinct Booters … ,https://ieeexplore.ieee.org/abstract/document/7140320/,", R Durban, … - 2015 IFIP/IEEE …, 2015 - ieeexplore.ieee.org",Inside booters: an analysis on operational databases,2015
72,"… (1) Ti+3 = S(Ti−1,Ti+1). (2) We call the combination of the recursions (1) and (2) as a . The can be utilized to initialize the state of number generator … T0 = ∆T2 = [0x80000000, 0, 0,0]. We call running the  once as a round operation in the state initialization … ",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.219.754&rep=rep1&type=pdf,"H Zhang, X Wang - IACR Cryptology ePrint Archive, 2009 - Citeseer",On the Security of Stream Cipher CryptMT v3.,2009
73,… WAN. A programmable Read Only Memory (PROM) downloads the  froma boot server or an install server located in the network. When … Trivial File TransferProtocol (TFTP) is used to download the . When booting … ,https://patents.google.com/patent/US9286047B1/en,"LM Avramov, S Kittur, CV Modumudi… - US Patent …, 2016 - Google Patents",Deployment and upgrade of network devices in a network environment,2016
74,"… 3.1 Offine 덤프 방법 프로세서가 시동될 때 의 간이 덤프 가능을 이용하여 offine상에서운용자가 덤프 기능을 수행하여 HMI workstation의 하드디스크에서 소포트웨어 패키지 를 운용보전프로세서의 하드디스크로 가져오는 방법으 로, 초기 덤프를 위한 소프트웨어 기능은 필요치 … ",http://www.dbpia.co.kr/Journal/ArticleDetail/NODE00219643,"제동국， 정헌주， 예병호 - 한국통신학회 학술대회 및 강연회, 1997 - dbpia.co.kr",TDX-ATM 의 Online 운용자 초기 덤프 (Online Initial Dump by Operator in TDX-ATM),1997
75,"… 1. Základní charakteristika Služby DDoSaaSs samy sebe typicky prezentují jako služby stresovéhotestování (stress testing) a často se setkáme s anglickými názvy jako  nebo stresser …DDoSaaS Cena (USD) Délka útoku (s) Souběžně útoků .in 2,5 100 2 … ",https://crocs.fi.muni.cz/_media/public/research/ddosaas_ddosjakosluzba.pdf,"V Bukač, , V Šťavová, L Němec - crocs.fi.muni.cz",DDoSaaS: DDoS jako služba,
76,"… 점에 결정되어 논 논건}적인 레 이아웃이고, 둘째는 booler를 통하여 결정되어 지는 운 영체제가로딩되는 의 논리적인 레이 0} 옷0|C}. 썼州世 운영 체제 실행 초) 에  와9|| 연관성율갖 고 수행되는 논리적8인 레00바웃0|고, 넷째논 이중화로 동작하는 상황에서의 활동 상E 의 … ",http://www.dbpia.co.kr/Journal/ArticleDetail/NODE06311126,"차영준， 정부금， 임동선 - 대한전자공학회 학술대회, 1998 - dbpia.co.kr",이중화 구조에서 운영체제의 동적 실행방법 (Dynamic Execution of Operating System in Duplex Systems),1998
77,… 在すると述べている．さらに，独自のフィンガー プリントを用いて応答ホストを分類した結果，増幅率の高いホストの中には，ルータや組み込み 機器などの IoT デバイスが存在すると報告して いる．また，文献[4，5]では金銭を支払うことで DDoS 攻撃を代行する，  または Stresser … ,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=146915&item_no=1&page_id=13&block_id=8,"小出駿， 牧田大佑， 吉岡克成， 松本勉 - … シンポジウム 2015 論文集, 2015 - ipsj.ixsq.nii.ac.jp",ハニーポットによる TCP リフレクション攻撃の観測と分析,2015
78,"… Free LVF LVF In an OOP system, instead of data and procedures in conventional von Neumanncomputing model, there are only objects. After the system is up, the control of the machine willbe given to the  class. The main method of the  class will be invoked … ",https://dl.acm.org/citation.cfm?id=959125,"MP Lun, R Li, A Fong - ACM SIGARCH Computer Architecture News, 2003 - dl.acm.org",Method manipulation in an object-oriented processor,2003
79,A method and apparatus prevent unauthorized programming viewing via a downloadable cabletelevision converter. A  checksum is computed from data contained in a downloaded image … The  checksum is compared to the extracted valid checksum … ,https://patents.google.com/patent/US4712239A/en,"W Frezza, R Simons, R Westerfer - US Patent 4,712,239, 1987 - Google Patents",Security arrangement for downloadable cable television converters,1987
80,"… BJ 30 (July/Aug. 1996) (outlining the history and development of Florida's APA)[hereinafter Revised APA\; James P. Rhea & Patrick L. """" Imhof, An Overviewof the 1996 Administrative Procedure Act, 48 FLA. L. REV. 1 (1996) … ",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/uflr48&section=10,"LE Sellers Jr - Fla. L. Rev., 1996 - HeinOnline",The Third Time's the Charm: Florida Finally Enacts Rulemaking Reform,1996
